City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,milyutinskaya,100,RU,1580454375,83,48.63,41.67,32.77,5.77
359,almaznyy,90,RU,1580454375,83,48.04,40.05,32.0,6.71
360,alugan,77,PH,1580454376,68,12.22,125.48,80.98,13.49
361,kampot,40,KH,1580454376,66,10.62,104.18,84.2,12.75
362,tocopilla,8,CL,1580454376,55,-22.09,-70.2,57.94,4.43
363,portland,90,US,1580454313,87,45.52,-122.68,54.0,8.05
364,gamba,83,GA,1580454377,88,-2.65,10.0,76.64,2.26
365,shelburne,90,CA,1580454377,92,44.08,-80.2,27.0,2.51
366,yashkino,20,RU,1580454377,76,55.87,85.43,-9.4,4.47
367,karuzi,76,BI,1580454377,91,-3.12,30.13,64.31,2.04
368,sokolo,0,ML,1580454378,18,14.73,-6.12,67.59,12.71
369,muriti,75,TZ,1580454378,88,-1.98,32.92,71.6,8.05
370,nuuk,1,GL,1580454378,78,64.18,-51.72,8.6,10.29
371,ndungu,98,TZ,1580454378,75,-4.37,38.05,75.33,2.71
372,kisaran,96,ID,1580454379,57,2.98,99.62,90.21,1.52
373,burnie,85,AU,1580454379,41,-41.07,145.92,82.99,3.0
374,burgersdorp,0,ZA,1580454379,37,-31.0,26.33,72.32,16.4
375,dargaville,20,NZ,1580454379,71,-35.93,173.88,72.5,8.46
376,cherskiy,100,RU,1580454379,97,68.75,161.3,-21.62,8.37
377,mapimi,42,MX,1580454380,58,25.82,-103.85,50.0,5.35
